INDEX,SPMCODE,Collector_no,Alt_Coll_No,TAXA-Current_determination,Collection_date,Collectors,OWNER,Country,State_Province_Region_territory,substate,substateRank,Site,Protected,habitat,associates,DBH-cm,Height-m,plantAttributesOther,Determination_HIST_PIPED,Determined_by,Determined_date,determination_reasoning_notes,sourceInstitution,livingCollectionsNumber,OrigSourceInfo,Original Source- Cultivated,latitude.orig,longitude.orig,Elevation-USETHIS,coordinatesSource,photos,Collecting_Extracting_notes,Project,DNA_location,voucher1,voucher2,voucher3,otherVouchers,MOR_Acc_Num,SPM_voucher,Voucher_Notes,Mira used for:,Wild_Arb_GH_Collected,latitude_georef,longitude_georef,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,HYB-SEQ-EXTRACT,Hyb-SEQ subproject,HYB-SEQ Sequenced On,Hyb-SEQ_filename1,Hyb-SEQ_filename2,HYB-SEQ notes,HYB-SEQ_BioProject,Hyb-SEQ-SRA_library_ID,SRA_biosample_accession,HYB-SEQ SRA_title_correct_LOCALITY_INFO,Lookup-SUBGENUS-by-CurrentTAXA,LOOKUP-section-by-currentTAXA,Lookup-CLADE0by-CurrentTAXA,GABE-TEMP
1531,QUE001531,IL-CS-NS13,,Quercus macrocarpa,8/17/15,Nick Steichmann,HIPP,USA,IL,Cook,County,"Cranberry Slough, 100 m S. on Spear Woods Trail along S. La Grange Rd. E side",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180973,MOR<USA-IL>: Steichmann IL-CS-NS13,,,wild,41.710236,-87.856855,Google Maps to Cranberry Slough,USA,Illinois,,,OAK-MOR-001009,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001009_S269_L007_R1_001.fastq.gz,OAK-MOR-001009_S269_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001531
1532,QUE001532,IL-CS-NS14,,Quercus macrocarpa,8/17/15,Nick Steichmann,HIPP,USA,IL,Cook,County,"Cranberry Slough, 30 m N. on trial from 95th St. W. side",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180972,MOR<USA-IL>: Steichmann IL-CS-NS14,,,wild,41.710236,-87.856855,Google Maps to Cranberry Slough,USA,Illinois,,,OAK-MOR-001010,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001010_S226_L007_R1_001.fastq.gz,OAK-MOR-001010_S226_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001532
1533,QUE001533,IL-CS-NS15,,Quercus macrocarpa,8/17/15,Nick Steichmann,HIPP,USA,IL,Cook,County,"Cranberry Slough, 50 m N. on trial from 95th St. W. side",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180954,MOR<USA-IL>: Steichmann IL-CS-NS15,,,wild,41.710236,-87.856855,Google Maps to Cranberry Slough,USA,Illinois,,,OAK-MOR-001011,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001011_S212_L007_R1_001.fastq.gz,OAK-MOR-001011_S212_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001533
1534,QUE001534,IL-CS-NS16,,Quercus bicolor,8/17/15,Nick Steichmann,HIPP,USA,IL,Cook,County,"Cranberry Slough, 55 m N. on trial from 95th St. W. side",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180974,MOR<USA-IL>: Steichmann IL-CS-NS16,,,wild,41.710236,-87.856855,Google Maps to Cranberry Slough,USA,Illinois,,,OAK-MOR-001012,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001012_S262_L007_R1_001.fastq.gz,OAK-MOR-001012_S262_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001534
1535,QUE001535,IL-CS-NS17,,Quercus bicolor,8/17/15,Nick Steichmann,HIPP,USA,IL,Cook,County,"Cranberry Slough, 100 m N. on trial from 95th St. W. side",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180958,MOR<USA-IL>: Steichmann IL-CS-NS17,,,wild,41.710236,-87.856855,Google Maps to Cranberry Slough,USA,Illinois,,,OAK-MOR-001013,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001013_S232_L007_R1_001.fastq.gz,OAK-MOR-001013_S232_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001535
1536,QUE001536,IL-CS-NS18,,Quercus macrocarpa,8/17/15,Nick Steichmann,HIPP,USA,IL,Cook,County,"Cranberry Slough, 400 m N. on trial from 95th St. W. side",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180955,MOR<USA-IL>: Steichmann IL-CS-NS18,,,wild,41.710236,-87.856855,Google Maps to Cranberry Slough,USA,Illinois,,,OAK-MOR-001014,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001014_S268_L007_R1_001.fastq.gz,OAK-MOR-001014_S268_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001536
1537,QUE001537,IL-RYERSON-NS1,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, 50 m N. on trail N. from parking lot",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180961,MOR<USA-IL>: Steichmann IL-RYERSON-NS1,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001015,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001015_S273_L007_R1_001.fastq.gz,OAK-MOR-001015_S273_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001537
1538,QUE001538,IL-RYERSON-NS2,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, 50 m N. on trail N. from parking lot, ",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180960,MOR<USA-IL>: Steichmann IL-RYERSON-NS2,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001016,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001016_S251_L007_R1_001.fastq.gz,OAK-MOR-001016_S251_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001538
1539,QUE001539,IL-RYERSON-NS3,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, 50 m N. on trail N. from parking lot, ",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180967,MOR<USA-IL>: Steichmann IL-RYERSON-NS3,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001017,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001017_S250_L007_R1_001.fastq.gz,OAK-MOR-001017_S250_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001539
1540,QUE001540,IL-RYERSON-NS4,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, Along trail N. of parking lot 50 m past first bridge",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180959,MOR<USA-IL>: Steichmann IL-RYERSON-NS4,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001018,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001018_S259_L007_R1_001.fastq.gz,OAK-MOR-001018_S259_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001540
1541,QUE001541,IL-RYERSON-NS5,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, Along trail N. of parking lot 50 m past first bridge",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180968,MOR<USA-IL>: Steichmann IL-RYERSON-NS5,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001019,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001019_S237_L007_R1_001.fastq.gz,OAK-MOR-001019_S237_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001541
1542,QUE001542,IL-RYERSON-NS6,IL-RY-NS6,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, Along trail N. of parking lot 50 m past first bridge",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180778,MOR<USA-IL>: Steichmann IL-RYERSON-NS6,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001020,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001020_S209_L007_R1_001.fastq.gz,OAK-MOR-001020_S209_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001542
1543,QUE001543,IL-RYERSON-NS7,IL-RY-NS7,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, Along trail N. of parking lot 100 m past first bridge",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180779,MOR<USA-IL>: Steichmann IL-RYERSON-NS7,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001021,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001021_S199_L007_R1_001.fastq.gz,OAK-MOR-001021_S199_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001543
1544,QUE001544,IL-RYERSON-NS8,IL-RY-NS8,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail N. of parking lot along second bridge next to Des Plaines River",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180780,MOR<USA-IL>: Steichmann IL-RYERSON-NS8,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001022,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001022_S210_L007_R1_001.fastq.gz,OAK-MOR-001022_S210_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001544
1545,QUE001545,IL-RYERSON-NS9,IL-RY-NS9,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trial N. of parking lot  60 m past second bridge",,,,,,,Q. bicolor,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180781,MOR<USA-IL>: Steichmann IL-RYERSON-NS9,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001023,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001023_S240_L007_R1_001.fastq.gz,OAK-MOR-001023_S240_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001545
1546,QUE001546,IL-RYERSON-NS10,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail N. of parking lot, immediately S. of boardwalk",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180782,MOR<USA-IL>: Steichmann IL-RYERSON-NS10,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001024,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001024_S191_L007_R1_001.fastq.gz,OAK-MOR-001024_S191_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001546
1547,QUE001547,IL-RYERSON-NS11,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail N. of parking lot, immediately S. of boardwalk across from cabin",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180788,MOR<USA-IL>: Steichmann IL-RYERSON-NS11,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001025,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001025_S228_L007_R1_001.fastq.gz,OAK-MOR-001025_S228_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001547
1548,QUE001548,IL-RYERSON-NS12,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail N. of parking lot, immediately S. of boardwalk across from cabin",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180783,MOR<USA-IL>: Steichmann IL-RYERSON-NS12,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001026,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001026_S216_L007_R1_001.fastq.gz,OAK-MOR-001026_S216_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001548
1549,QUE001549,IL-RYERSON-NS13,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, just after fork, S. trail",,,,,,,Q. macrocarpa,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180784,MOR<USA-IL>: Steichmann IL-RYERSON-NS13,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001027,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001027_S221_L007_R1_001.fastq.gz,OAK-MOR-001027_S221_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001549
1550,QUE001550,IL-RYERSON-NS14,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, 1/2 mile along trail S",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180785,MOR<USA-IL>: Steichmann IL-RYERSON-NS14,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001064,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001064_S203_L007_R1_001.fastq.gz,OAK-MOR-001064_S203_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001550
1551,QUE001551,IL-RYERSON-NS15,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, 3/4 mile along trail S",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180786,MOR<USA-IL>: Steichmann IL-RYERSON-NS15,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001065,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001065_S220_L007_R1_001.fastq.gz,OAK-MOR-001065_S220_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001551
1552,QUE001552,IL-RYERSON-NS16,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, 3/4 mile along trail S",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180787,MOR<USA-IL>: Steichmann IL-RYERSON-NS16,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001066,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001066_S283_L007_R1_001.fastq.gz,OAK-MOR-001066_S283_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001552
1553,QUE001553,IL-RYERSON-NS17,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, 1 mile along trail S",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180962,MOR<USA-IL>: Steichmann IL-RYERSON-NS17,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001067,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001067_S267_L007_R1_001.fastq.gz,OAK-MOR-001067_S267_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001553
1554,QUE001554,IL-RYERSON-NS18,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, south loop, immediately before first boardwalk",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180963,MOR<USA-IL>: Steichmann IL-RYERSON-NS18,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001068,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001068_S282_L007_R1_001.fastq.gz,OAK-MOR-001068_S282_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001554
1555,QUE001555,IL-RYERSON-NS19,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, south loop, along first boardwalk",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180964,MOR<USA-IL>: Steichmann IL-RYERSON-NS19,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001069,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001069_S280_L007_R1_001.fastq.gz,OAK-MOR-001069_S280_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001555
1556,QUE001556,IL-RYERSON-NS20,,Quercus macrocarpa,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, On trail W. from parking lot, south loop, 15 m N. of first boardwalk",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180965,MOR<USA-IL>: Steichmann IL-RYERSON-NS20,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001070,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001070_S285_L007_R1_001.fastq.gz,OAK-MOR-001070_S285_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001556
1557,QUE001557,IL-RYERSON-NS21,,Quercus bicolor,8/18/15,Nick Steichmann,HIPP,USA,IL,Lake,County,"Ryerson Woods, at the E. end of the boardwalk at E. edge of farm",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180966,MOR<USA-IL>: Steichmann IL-RYERSON-NS21,,,wild,42.181625,-87.91501,Google Maps to Ryerson Woods,USA,Illinois,,,OAK-MOR-001071,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-001071_S287_L007_R1_001.fastq.gz,OAK-MOR-001071_S287_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001557
1610,QUE001610,2017001,,Quercus macrocarpa,5/12/17,Andrew L. Hipp & Mira Garner,HIPP,USA,IL,DuPage,County,The Morton Arboretum,,Brushy woods,"Quercus macrocarpa, Q. alba, Q. rubra, Celtis occidentalis",,,,Quercus macrocarpa Michx.,,,,,,,,41.81347,-88.06293,750 ft,,,,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",,The Morton Arboretum (MOR),NA,NA,NA,183255,MOR<USA-IL>: Hipp & Garner 2017001,,"Rangewide, Fungal Endophytes",wild,41.81347,-88.06293,wild collected- orginal GPS,USA,Illinois,,,OAK-MOR-001348,Hyb-SEQ-macrocarpa,Illumina MiSeq,OAK-MOR-001348_S52_L001_R1_001.fastq.gz,OAK-MOR-001348_S52_L001_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001610
1611,QUE001611,2017002,,Quercus alba,5/12/17,Andrew L. Hipp & Mira Garner,HIPP,USA,IL,DuPage,County,The Morton Arboretum,,Brushy woods,"Quercus macrocarpa, Q. alba, Q. rubra, Celtis occidentalis",,,,Quercus alba,,,,,,,,41.81345,-88.06309,750 ft,,,,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",,The Morton Arboretum (MOR),NA,NA,NA,183256,MOR<USA-IL>: Hipp & Garner 2017002,,"Rangewide, Fungal Endophytes",wild,41.81345,-88.06309,wild collected- orginal GPS,USA,Illinois,,,OAK-MOR-001349,Hyb-SEQ-macrocarpa,Illumina MiSeq,OAK-MOR-001349_S53_L001_R1_001.fastq.gz,OAK-MOR-001349_S53_L001_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus alba from USA:Illinois,subg. Quercus,Quercus,Albae,QUE001611
1629,QUE001629,2017020,,Quercus macrocarpa,5/12/17,Andrew L. Hipp & Mira Garner,HIPP,USA,IL,DuPage,County,The Morton Arboretum,,Edge of East Woods,,,,,Quercus macrocarpa Michx.,,,,,,,,41.81671,-88.0628,720 ft,,,,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",,The Morton Arboretum (MOR),NA,NA,NA,183272,MOR<USA-IL>: Hipp & Garner 2017020,,"Rangewide, Fungal Endophytes",wild,41.81671,-88.0628,wild collected- orginal GPS,USA,Illinois,,,OAK-MOR-001350,Hyb-SEQ-macrocarpa,Illumina MiSeq,OAK-MOR-001350_S54_L001_R1_001.fastq.gz,OAK-MOR-001350_S54_L001_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001629
1630,QUE001630,2017021,,Quercus alba,5/12/17,Andrew L. Hipp & Mira Garner,HIPP,USA,IL,DuPage,County,The Morton Arboretum,,Upland woods,"Quercus rubra, Acer saccharum, Ulmus, Lonicera",,,,Quercus alba,,,,,,,,41.81672,-88.06216,780 ft,,,,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",,The Morton Arboretum (MOR),NA,NA,NA,183273,MOR<USA-IL>: Hipp & Garner 2017021,,Rangewide,wild,41.81672,-88.06216,wild collected- orginal GPS,USA,Illinois,,,OAK-MOR-001351,Hyb-SEQ-macrocarpa,Illumina MiSeq,OAK-MOR-001351_S55_L001_R1_001.fastq.gz,OAK-MOR-001351_S55_L001_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus alba from USA:Illinois,subg. Quercus,Quercus,Albae,QUE001630
1632,QUE001632,SH-MG105,,Quercus macrocarpa,5/31/17,Mira Garner & Emma Spence,HIPP,USA,IL,Menard,County,Starhill Forest Arboretum,,,,,,,Quercus macrocarpa Michx.,,,,Starhill Forest Arboretum,2003-036,"Wild collected seed by James Hitz in Kout, Porter County, Indiana, USA",,,,,,,,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",,The Morton Arboretum (MOR),,,,186612,MOR<USA-IL>:186612,,Starhill,arboretum collected,41.316706,-87.025859,GEOLocate: Uncertainty: 1528 m Parse pattern: KOUTS,USA,Indiana,,,OAK-MOR-001552,Hyb-SEQ-macrocarpa,Illumina MiSeq,OAK-MOR-001552_S18_L001_R1_001.fastq.gz,OAK-MOR-001552_S18_L001_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Indiana,subg. Quercus,Quercus,Prinoideae,QUE001632
