"","areasymbol","musym","muname","mukey","caco3_r","cec7_r","ec_r","ecec_r","gypsum_r","ph1to1h2o_r","claytotal_r","sandtotal_r","silttotal_r","dbthirdbar_r","lep_r","om_r","ksat_r","awc_r"
"158","MO189","73509","Union silt loam, 8 to 15 percent slopes, eroded",2536161,0,11.3,0.2,10.73,0,5.08,29.21,9.65,61.14,1.43,2.05,0.74,6.89,0.14
"159","WI049","1130F","Lacrescent-Dunbarton complex, very stony, 30 to 60 percent slopes",2561807,0.27,20.24,0,NA,0,6.91,25.29,24.42,50.29,1.35,2.37,1.93,16.08,0.16
"160","WI049","1195F","Elkmound-Northfield complex, 30 to 60  percent slopes, very rocky",2561809,0,9.32,NA,NA,0,5.6,15.09,57.47,27.44,1.57,1.5,0.64,18.74,0.16
"161","IN053","GlrC","Glynwood silt loam, 6 to 12 percent slopes",2567855,5.86,20.88,0,14.38,0,6.6,35.66,22.72,41.62,1.61,4.5,0.93,2.79,0.14
"162","SD607","Q0004E","Mocmont-Rock outcrop complex, 10 to 40 percent slopes",2586534,0,19.43,0.31,29.2,0,6.29,23.98,37.09,38.93,1.29,1.99,3.2,12.09,0.13
"163","IA113","4083C","Kenyon-Urban land complex, 5 to 9 percent slopes",2606448,0,19.22,0.1,NA,0,5.8,23.56,39.81,36.63,1.59,2.88,1.47,4.68,0.17
"164","IA113","4391B","Clyde-Floyd-Urban land complex, 0 to 5 percent slopes",2606465,0,21.82,0.1,NA,0,6.7,25.96,29.95,44.1,1.41,3.14,3.46,7.17,0.2
"165","KS161","4590","Clime-Sogn complex, 3 to 20 percent slopes",2668810,6.13,24.72,0.32,NA,0,7.72,41.13,7.76,51.11,1.34,4.82,2.37,0.98,0.16
"166","SD081","P256D","Nevee-Spearfish silt loams, 6 to 20 percent slopes",2733259,7.42,12.99,1.23,NA,0.84,7.59,17.1,17.66,65.24,1.44,2.04,0.92,7.23,0.2
"167","SD607","P366D","Recluse-Fairburn loams, dry, 6 to 15 percent slopes",2745688,4.49,17.33,0.84,NA,0.24,7.54,21.18,40.37,38.45,1.39,2.43,0.9,7.44,0.17
"168","IA169","L55","Nicollet loam, 1 to 3 percent slopes",2800480,3.9,18.91,0,NA,0,6.81,23.14,37.48,39.38,1.35,2.57,2.44,9.17,0.19
"169","WI025","161D2","Fivepoints silt loam, 12 to 20 percent slopes, moderately eroded",2809845,0,20.84,0,NA,0,6.61,27.42,26.51,46.08,1.45,3.35,0.54,11.9,0.12
"170","WI025","1145F","Gaphill-Rockbluff complex, 30 to 60 percent slopes",2809846,0,4.27,0,NA,NA,6.27,7.29,80.57,12.14,1.6,1.5,0.96,59.13,0.1
"171","IA169","L236B","Lester loam, Bemis moraine, 2 to 6 percent slopes",2834933,0,22.26,0,NA,0,6.43,27.72,35.28,37,1.47,3.54,1.31,5.23,0.18
"172","IA169","L95","Harps clay loam, Bemis moraine, 0 to 2 percent slopes",2835194,25,16.95,0,NA,0,7.9,24.44,34.05,41.51,1.26,2.12,3.68,7.9,0.19
"173","IA169","L62D2","Storden loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded",2916702,18.4,15.06,0,NA,0,7.78,20.4,43.8,35.8,1.5,2,0.9,9.17,0.18
"174","IN053","GleB2","Glynwood silt loam, end moraine, 1 to 4 percent slopes, eroded",3056115,8.32,19.86,0,NA,0,6.82,36.06,23.24,40.7,1.65,3.8,0.89,1.25,0.12
"175","IN053","GweB3","Glynwood-Mississinewa clay loams, end moraine, 3 to 8 percent slopes, severely eroded",3056117,10.97,18.5,0,NA,0,7.03,36.62,23.56,39.83,1.67,3.48,0.6,1.23,0.1
